,sex,whole_weight,rings
2517,M,0.6315,7
2518,M,0.7715,8
2519,I,0.6125,7
2520,M,0.872,9
2521,M,0.8115,9
2522,M,0.8795,11
2523,F,0.983,9
2524,M,1.145,11
2525,M,1.09,9
2526,M,1.262,9
2527,M,1.185,10
2528,F,1.4405,9
2529,F,1.332,8
2530,F,1.1405,9
2531,M,1.201,10
2532,F,1.33,10
2533,M,1.362,10
2534,M,1.647,12
2535,F,1.4995,11
2536,F,1.6225,12
2537,I,1.786,11
2538,M,1.791,15
2539,F,1.925,13
2540,F,1.689,13
2541,F,1.659,9
2542,F,2.0475,14
2543,F,1.6015,10
2544,F,2.0165,10
2545,I,0.04,4
2546,I,0.0565,4
2547,I,0.064,5
2548,I,0.0875,4
2549,I,0.106,5
2550,I,0.1315,5
2551,I,0.126,6
2552,I,0.155,6
2553,I,0.149,7
2554,I,0.185,7
2555,I,0.2545,6
2556,I,0.237,6
2557,I,0.279,7
2558,I,0.3205,6
2559,I,0.3335,7
2560,I,0.3885,7
2561,I,0.545,6
2562,I,0.4165,6
2563,I,0.495,7
2564,I,0.4775,6
2565,I,0.468,8
2566,F,0.4555,7
2567,F,0.46,6
2568,I,0.4155,7
2569,I,0.4215,6
2570,I,0.474,7
2571,M,0.486,9
2572,I,0.5735,7
2573,I,0.468,8
2574,M,0.5135,8
2575,M,0.6215,7
2576,I,0.494,7
2577,I,0.6005,7
2578,M,0.646,9
2579,M,0.7945,7
2580,M,0.812,8
2581,F,0.828,6
2582,M,0.681,6
2583,F,0.889,8
2584,M,0.7345,9
2585,F,0.964,8
2586,F,0.963,7
2587,F,0.995,9
2588,F,0.8585,8
2589,M,0.948,7
2590,F,0.888,8
2591,F,0.9045,8
2592,M,1.046,7
2593,F,1.1775,9
2594,F,1.0765,9
2595,F,1.0255,11
2596,F,0.9325,8
2597,F,1.235,8
2598,M,1.247,9
2599,M,1.1495,8
2600,F,1.1575,10
2601,F,1.327,10
2602,M,1.2,8
2603,F,1.2705,9
2604,F,1.2155,10
2605,F,1.3245,9
2606,M,1.3555,10
2607,F,1.127,9
2608,F,1.1075,8
2609,F,1.4255,11
2610,F,1.147,9
2611,M,1.286,8
2612,F,1.596,11
2613,F,1.297,11
2614,M,1.251,9
2615,M,1.5105,12
2616,F,1.4415,9
2617,M,1.6385,9
2618,F,1.933,13
2619,M,1.71,8
2620,F,1.8495,10
2621,M,1.742,12
2622,F,1.7975,13
2623,F,2.381,10
2624,M,2.398,12
2625,M,2.1945,10
2626,I,0.049,4
2627,I,0.1055,5
2628,I,0.1045,5
2629,I,0.163,6
2630,I,0.2275,6
2631,I,0.219,6
2632,I,0.3645,8
2633,I,0.3265,6
2634,I,0.3515,7
2635,I,0.3465,7
2636,I,0.407,7
2637,I,0.4215,7
2638,I,0.3755,7
2639,I,0.5335,6
2640,I,0.442,7
2641,I,0.1315,7
2642,I,0.5205,7
2643,I,0.5535,8
2644,I,0.5445,8
2645,M,0.554,8
2646,I,0.512,7
2647,I,0.583,8
2648,M,0.5765,9
2649,M,0.723,7
2650,I,0.5395,8
2651,I,0.625,8
2652,I,0.5925,9
2653,I,0.633,9
2654,F,0.832,9
2655,M,0.778,7
2656,M,0.7865,7
2657,F,0.778,9
2658,I,0.636,8
2659,F,0.8435,8
2660,I,0.648,8
2661,M,0.784,9
2662,F,0.908,9
2663,M,1.02,9
2664,F,0.811,9
2665,F,0.897,8
2666,M,0.852,8
2667,F,0.938,7
2668,F,0.6955,8
2669,M,0.861,8
2670,M,1.004,9
2671,F,1.0115,8
2672,F,1.1005,8
2673,M,1.108,9
2674,M,0.852,9
2675,M,1.9875,10
2676,F,1.079,10
2677,F,1.055,9
2678,M,1.198,7
2679,F,1.084,9
2680,M,1.103,10
2681,M,1.1,9
2682,M,1.1015,10
2683,M,1.3835,11
2684,F,1.115,9
2685,M,1.085,10
2686,M,1.3165,11
2687,M,1.3415,10
2688,M,1.027,8
2689,M,1.1845,9
2690,M,1.192,9
2691,F,1.285,9
2692,M,1.1805,9
2693,M,1.2655,9
2694,F,1.2895,10
2695,M,1.407,9
2696,F,1.122,9
2697,M,1.4465,10
2698,F,1.349,9
2699,M,1.269,11
2700,M,1.68,13
2701,F,1.551,13
2702,M,1.4775,11
2703,M,1.529,11
2704,M,1.7585,10
2705,M,1.523,13
2706,F,1.7315,11
2707,M,1.51,9
2708,M,1.88,11
2709,F,2.012,12
2710,M,2.201,11
2711,I,0.0315,3
2712,I,0.04,4
2713,I,0.0635,4
2714,I,0.0985,5
2715,I,0.167,6
2716,I,0.2015,6
2717,I,0.183,6
2718,I,0.187,7
2719,I,0.1795,5
2720,I,0.2065,7
2721,I,0.3,8
2722,I,0.2295,7
2723,I,0.343,7
2724,I,0.244,8
2725,I,0.3075,8
2726,I,0.3415,7
2727,I,0.271,7
2728,I,0.91,8
2729,I,0.268,7
2730,I,0.2885,6
2731,I,0.3,8
2732,I,0.326,8
2733,I,0.358,7
2734,I,0.314,8
2735,I,0.4025,8
2736,I,0.3645,7
2737,I,0.4235,9
2738,M,0.4305,8
2739,I,0.3505,7
2740,I,0.486,8
2741,I,0.471,8
2742,I,0.415,8
2743,I,0.5195,7
2744,M,0.5895,11
2745,I,0.5215,8
2746,I,0.4475,8
2747,I,0.5585,10
2748,I,0.596,9
2749,I,0.5385,9
2750,I,0.7665,8
2751,F,0.516,9
2752,M,0.7355,7
2753,I,0.531,8
2754,I,0.607,8
2755,F,0.7055,10
2756,I,0.6445,8
2757,I,0.6315,9
2758,M,0.7845,10
2759,F,0.9475,8
2760,I,0.712,10
2761,I,0.89,10
2762,I,0.912,9
2763,I,0.656,10
2764,I,0.936,9
2765,I,0.6975,11
2766,F,1.1465,8
2767,I,0.825,10
2768,I,0.72,11
2769,I,0.8215,11
2770,F,1.017,10
2771,F,0.8975,9
2772,M,1.2255,10
2773,F,0.9865,11
2774,F,0.844,9
2775,I,0.8465,10
2776,M,0.885,10
2777,I,0.6735,9
2778,F,0.8755,8
2779,M,0.9235,9
2780,M,0.977,10
2781,M,1.0305,10
2782,M,1.05,8
2783,M,1.1145,11
2784,M,0.877,9
2785,M,1.285,9
2786,M,1.3065,10
2787,F,0.8725,11
2788,F,1.0265,10
2789,F,1.1605,9
2790,F,1.0125,10
2791,M,1.096,10
2792,M,1.205,10
2793,M,1.221,12
2794,F,1.0005,10
2795,M,1.1355,12
2796,M,1.3135,10
2797,M,1.1955,11
2798,M,1.098,10
2799,M,1.139,10
2800,F,1.2265,11
2801,M,1.042,10
2802,M,1.368,9
2803,M,1.446,12
2804,F,1.4045,9
2805,F,1.463,11
2806,F,1.711,9
2807,M,1.74,13
2808,F,1.757,9
2809,M,1.601,11
2810,M,2.165,10
2811,M,2.3305,9
2812,I,0.0545,5
2813,I,0.0725,4
2814,I,0.0925,4
2815,I,0.183,7
2816,I,0.1525,6
2817,I,0.187,7
2818,I,0.232,8
2819,I,0.196,5
2820,I,0.2545,6
2821,I,0.2625,7
2822,I,0.362,7
2823,I,0.4445,7
2824,I,0.511,7
2825,I,0.589,8
2826,M,0.5945,9
2827,I,0.529,8
2828,M,0.872,9
2829,I,0.77,7
2830,F,0.8435,9
2831,M,0.818,7
2832,F,0.8035,9
2833,F,0.8115,9
2834,F,0.782,8
2835,M,0.8745,8
2836,M,0.984,9
2837,F,0.95,8
2838,M,1.1735,9
2839,F,0.976,10
2840,M,1.0785,9
2841,M,1.057,9
2842,M,1.11,9
2843,M,1.142,10
2844,M,1.1255,10
2845,F,1.1045,10
2846,M,1.3405,10
2847,M,1.082,8
2848,F,1.254,9
2849,M,1.2005,10
2850,M,1.243,10
2851,F,1.286,12
2852,F,1.1665,9
2853,F,1.144,8
2854,F,1.385,11
2855,F,1.309,11
2856,F,1.527,11
2857,M,1.6385,11
2858,M,1.691,11
2859,F,1.719,11
2860,F,1.52,10
2861,F,1.613,12
2862,M,2.2355,10
2863,M,2.3235,11
2864,I,0.1245,6
2865,I,0.1285,4
2866,I,0.181,5
2867,I,0.1585,6
2868,I,0.1965,7
2869,I,0.198,5
2870,I,0.1855,7
2871,I,0.2145,7
2872,I,0.3245,8
2873,I,0.2625,6
2874,I,0.371,8
2875,I,0.298,7
2876,I,0.336,7
2877,I,0.447,9
2878,F,0.4085,8
2879,I,0.587,8
2880,I,0.494,8
2881,I,0.614,8
2882,I,0.5075,9
2883,I,0.5445,8
2884,I,0.6115,9
2885,I,0.5605,8
2886,M,0.521,8
2887,I,0.5775,9
2888,I,0.5935,8
2889,I,0.597,8
2890,M,0.9505,8
2891,I,0.616,8
2892,M,0.8315,10
2893,F,0.8725,8
2894,I,0.8155,11
2895,I,0.619,10
2896,I,0.7595,8
2897,I,0.742,10
2898,I,0.804,8
2899,I,0.664,8
2900,F,0.745,9
2901,I,0.728,8
2902,I,0.777,9
2903,F,0.8765,8
2904,I,0.9895,9
2905,M,0.9655,8
2906,M,0.9065,8
2907,M,1.049,10
2908,F,0.9705,9
2909,F,0.92,9
2910,M,0.9525,11
2911,F,0.7855,11
2912,I,0.855,9
2913,M,1.142,9
2914,I,0.755,9
2915,I,0.9745,10
2916,M,1.2015,10
2917,M,1.1295,10
2918,I,0.9205,9
2919,F,1.056,10
2920,M,1.34,10
2921,F,0.9625,9
2922,M,1.0475,11
2923,F,1.0915,13
2924,M,1.167,9
2925,I,0.9995,10
2926,I,1.0485,11
2927,F,1.2735,12
2928,M,1.0625,11
2929,I,1.1545,11
2930,F,1.194,11
2931,F,1.1215,9
2932,M,0.9335,10
2933,F,1.198,10
2934,F,0.9545,9
2935,M,1.3585,10
2936,M,1.2075,11
2937,M,1.217,10
2938,F,1.217,11
2939,F,0.92,10
2940,M,0.8765,10
2941,F,1.2615,10
2942,M,1.2795,9
2943,F,1.167,10
2944,M,1.1885,7
2945,F,1.3765,11
2946,M,1.292,11
2947,M,1.1795,10
2948,F,1.29,8
2949,M,1.2075,11
2950,M,1.297,11
2951,M,1.4585,11
2952,F,1.151,12
2953,F,1.197,11
2954,M,1.539,12
2955,M,1.676,15
2956,F,1.6645,12
2957,F,1.528,11
2958,F,1.494,12
2959,F,1.277,13
2960,F,1.5965,10
2961,F,1.3805,10
2962,I,1.2565,9
2963,F,1.527,12
2964,M,1.4005,9
2965,M,1.4405,9
2966,M,1.482,10
2967,M,1.2345,11
2968,F,1.3435,12
2969,M,1.533,10
2970,M,1.8445,13
2971,M,1.825,11
2972,M,2.0885,13
2973,M,2.087,12
2974,M,1.884,12
2975,I,0.305,6
2976,I,0.4295,8
2977,I,0.449,6
2978,M,1.029,8
2979,M,0.981,8
2980,I,0.5745,7
2981,F,0.693,8
2982,F,1.183,9
2983,F,0.7905,8
2984,F,1.224,10
2985,I,0.775,8
2986,M,1.2705,13
2987,M,1.406,10
2988,M,0.873,9
2989,M,0.9415,9
2990,F,1.007,9
2991,M,1.0835,8
2992,I,0.9845,8
2993,F,1.5245,11
2994,M,1.024,9
2995,M,1.281,9
2996,F,1.148,10
2997,F,1.136,9
2998,F,1.2235,9
2999,F,1.3695,11
3000,M,1.006,9
3001,M,1.307,11
3002,M,1.463,10
3003,F,1.2905,10
3004,F,1.4265,11
3005,M,1.7885,13
3006,M,1.6135,11
3007,M,2.2305,14
3008,F,2.2635,12
3009,I,0.074,4
3010,I,0.2075,6
3011,I,0.237,8
3012,I,0.2665,7
3013,I,0.215,8
3014,I,0.253,6
3015,I,0.309,6
3016,I,0.3535,7
3017,I,0.335,8
3018,I,0.3875,9
3019,I,0.365,8
3020,I,0.4045,8
3021,I,0.372,9
3022,I,0.3965,8
3023,I,0.5225,8
3024,I,0.456,9
3025,I,0.44,7
3026,I,0.507,8
3027,I,0.5285,8
3028,I,0.572,7
3029,I,0.6625,11
3030,I,0.6445,11
3031,I,0.6275,8
3032,I,0.6885,9
3033,M,0.6835,8
3034,M,0.6855,10
3035,I,0.6755,10
3036,I,0.783,11
3037,M,0.894,9
3038,I,0.768,9
3039,M,0.95,10
3040,F,0.871,10
3041,M,0.9785,9
3042,I,0.7425,8
3043,M,0.737,10
3044,I,0.9175,9
3045,F,0.8785,10
3046,M,1.1275,11
3047,M,0.9765,9
3048,I,0.974,8
3049,M,0.853,9
3050,M,0.991,12
3051,M,0.9125,9
3052,F,0.921,9
3053,F,0.869,11
3054,M,0.8665,12
3055,F,1.089,11
3056,M,0.9615,11
3057,M,1.145,13
3058,I,0.907,11
3059,F,1.1635,11
3060,M,1.1955,11
3061,M,1.31,10
3062,F,1.251,11
3063,F,1.145,9
3064,M,1.154,9
3065,F,1.1335,11
3066,F,1.2015,9
3067,M,1.5595,11
3068,M,1.3165,12
3069,M,1.403,11
3070,F,1.204,9
3071,F,1.2895,11
3072,F,1.5175,10
3073,M,1.3575,10
3074,M,1.3645,11
3075,F,1.494,11
3076,F,1.664,11
3077,M,1.545,10
3078,F,1.5855,11
3079,F,1.666,11
3080,M,1.724,13
3081,F,1.908,14
3082,F,2.073,11
3083,I,0.0515,4
3084,I,0.057,5
3085,I,0.0925,6
3086,I,0.204,7
3087,I,0.3075,7
3088,I,0.262,8
3089,M,0.458,8
3090,M,0.491,10
3091,M,0.474,10
3092,M,0.5805,11
3093,F,0.728,11
3094,M,0.622,9
3095,M,0.706,9
3096,F,0.5685,9
3097,M,0.9385,11
3098,F,0.655,8
3099,M,0.9465,9
3100,M,0.9115,10
3101,M,0.942,11
3102,M,1.193,8
3103,M,1.461,11
3104,M,1.489,10
3105,I,0.1115,5
3106,I,0.1235,5
3107,I,0.2815,5
3108,I,0.226,7
3109,I,0.2285,7
3110,I,0.2995,8
3111,I,0.361,8
3112,I,0.3045,7
3113,I,0.3975,7
3114,I,0.379,7
3115,I,0.4995,6
3116,M,0.7775,10
3117,F,0.4705,8
3118,M,0.751,8
3119,F,0.714,10
3120,F,0.6995,9
3121,F,0.952,7
3122,M,0.8755,8
3123,M,0.9215,9
3124,F,0.8285,10
3125,M,1.206,10
3126,M,1.2865,11
3127,F,1.1945,9
3128,F,1.1655,10
3129,F,1.2155,10
3130,M,1.1735,11
3131,M,1.532,11
3132,F,1.5105,10
3133,F,0.5565,9
3134,M,0.547,8
3135,M,0.5165,9
3136,M,0.764,11
3137,M,0.488,10
3138,M,0.6905,10
3139,I,0.1835,11
3140,M,0.97,20
3141,I,0.033,5
3142,I,0.059,5
3143,I,0.046,4
3144,F,1.3235,9
3145,M,0.8465,13
3146,M,1.047,14
3147,F,1.2785,13
3148,F,1.8745,12
3149,F,1.978,24
3150,F,1.367,10
3151,F,1.742,21
3152,F,0.513,11
3153,M,0.4085,9
3154,M,0.56,7
3155,M,0.635,9
3156,M,0.875,10
3157,F,0.397,9
3158,M,0.806,9
3159,F,0.204,6
3160,I,0.1165,7
3161,F,0.17,6
3162,M,1.194,15
3163,F,0.765,9
3164,F,1.151,13
3165,F,0.6765,9
3166,F,1.571,18
3167,M,1.153,15
3168,M,1.114,15
3169,M,0.9125,10
3170,F,0.872,14
3171,M,0.792,13
3172,F,0.606,11
3173,M,0.2265,6
3174,M,0.3955,9
3175,I,0.61,11
3176,F,0.539,12
3177,F,0.657,15
3178,M,0.2505,8
3179,I,0.102,8
3180,F,0.2685,7
3181,M,0.551,11
3182,M,1.307,10
3183,M,0.9185,11
3184,F,1.707,13
3185,F,0.8805,11
3186,F,0.4965,6
3187,F,0.632,8
3188,M,2.2695,16
3189,M,0.9235,7
3190,I,0.0345,5
3191,M,1.3315,13
3192,F,0.72,14
3193,M,1.032,20
3194,F,1.017,12
3195,F,0.98,18
3196,I,0.1495,5
3197,I,0.1515,7
3198,M,0.478,11
3199,F,0.578,9
3200,F,0.6835,10
3201,F,0.2725,6
3202,F,1.511,17
3203,F,1.3035,17
3204,F,1.3955,15
3205,M,0.1975,9
3206,I,0.116,8
3207,I,0.523,15
3208,I,0.1565,9
3209,I,0.384,14
3210,M,1.0055,12
3211,F,1.1345,10
3212,F,1.0835,14
3213,F,0.868,13
3214,F,1.0915,14
3215,F,1.271,11
3216,M,1.4985,16
3217,M,0.388,10
3218,F,1.2355,14
3219,M,1.402,16
3220,M,0.6025,11
3221,M,0.2775,9
3222,M,0.973,18
3223,M,0.753,8
3224,M,1.3765,16
3225,I,0.375,9
3226,F,0.4135,10
3227,F,0.56,13
3228,I,0.3915,9
3229,F,1.2765,12
3230,M,0.96,11
3231,M,0.3745,12
3232,M,0.696,13
3233,F,1.2955,12
3234,F,1.2315,13
3235,M,1.383,14
3236,I,0.2225,8
3237,M,1.156,18
3238,M,1.477,14
3239,F,1.5715,15
3240,M,0.858,15
3241,M,1.4995,14
3242,M,1.467,15
3243,F,1.092,14
3244,F,1.8165,19
3245,F,1.6365,13
3246,M,0.906,13
3247,F,1.213,15
3248,M,1.06,11
3249,M,0.161,6
3250,F,0.459,9
3251,I,0.533,8
3252,M,0.6175,12
3253,I,0.366,6
3254,F,0.4195,7
3255,I,0.15,5
3256,F,0.8745,12
3257,M,0.655,9
3258,M,0.484,7
3259,M,1.4435,18
3260,F,0.8775,13
3261,F,1.3105,12
3262,F,1.2515,14
3263,M,0.9085,17
3264,F,1.1705,12
3265,M,0.528,14
3266,F,0.6625,11
3267,F,0.4335,10
3268,M,0.3595,11
3269,F,1.107,12
3270,F,0.8595,13
3271,M,0.7735,17
3272,M,0.4365,11
3273,F,0.501,13
3274,F,0.6735,18
3275,M,0.415,12
3276,M,0.4775,12
3277,F,0.5555,15
3278,M,0.6445,12
3279,F,1.428,18
3280,M,1.6195,24
3281,M,0.81,11
3282,F,1.0385,13
3283,F,0.9715,11
3284,M,0.868,11
3285,F,1.522,13
3286,F,1.1255,14
3287,M,0.7085,12
3288,F,1.0185,15
3289,M,0.72,15
3290,F,0.6175,12
3291,M,0.738,9
3292,F,0.597,11
3293,M,1.156,13
3294,F,1.22,14
3295,M,0.7485,14
3296,F,1.0735,14
3297,M,1.229,17
3298,F,1.146,13
3299,M,1.145,16
3300,F,1.1055,16
3301,F,1.67,11
3302,F,1.555,15
3303,F,0.9285,12
3304,F,0.8085,16
3305,I,1.057,16
3306,I,0.2595,10
3307,F,0.438,9
3308,M,0.099,5
3309,I,0.5085,9
3310,F,1.166,13
3311,F,0.507,12
3312,F,0.6345,17
3313,M,0.314,11
3314,I,0.4385,11
3315,M,0.195,9
3316,M,0.451,16
3317,M,0.084,7
3318,M,0.0245,4
3319,F,1.4685,19
3320,F,0.7765,16
3321,I,0.5425,11
3322,F,0.5885,15
3323,F,0.3375,12
3324,I,0.2565,12
3325,M,0.163,10
3326,I,0.8095,12
3327,I,1.3655,16
3328,I,0.967,13
3329,F,0.6855,10
3330,F,0.314,10
3331,F,0.7005,11
3332,I,0.4895,13
3333,I,0.45,12
3334,I,0.259,8
3335,F,0.382,12
3336,F,0.4435,11
3337,I,1.6935,15
3338,F,1.71,16
3339,F,0.8575,12
3340,I,0.97,17
3341,F,0.59,12
3342,M,0.34,14
3343,F,0.385,13
3344,I,0.515,13
3345,F,0.59,12
3346,I,0.51,14
3347,M,0.3005,11
3348,I,0.683,13
3349,I,0.468,10
3350,I,0.4075,11
3351,F,0.584,13
3352,F,0.829,15
3353,I,0.4545,8
3354,F,0.4385,10
3355,I,0.407,10
3356,I,0.3085,6
3357,I,0.239,8
3358,M,0.106,5
3359,I,1.178,20
3360,F,1.073,19
3361,M,0.306,9
3362,M,0.301,9
3363,I,0.7585,10
3364,M,0.171,11
3365,I,0.3625,11
3366,M,0.0905,5
3367,I,1.0885,17
3368,I,1.097,13
3369,I,1.278,17
3370,M,0.44,12
3371,M,0.163,10
3372,I,0.522,16
3373,M,0.9715,19
3374,F,0.588,10
3375,F,0.5325,10
3376,I,0.127,6
3377,I,0.0815,5
3378,M,0.1635,8
3379,I,0.1,8
3380,I,0.0265,5
3381,M,0.9955,19
3382,M,0.6605,15
3383,M,0.721,14
3384,F,0.1485,7
3385,F,0.487,13
3386,M,0.955,13
3387,M,0.873,18
3388,M,1.65,13
3389,M,1.1285,16
3390,M,1.1115,10
3391,M,0.9745,13
3392,M,1.4605,19
3393,M,1.0105,10
3394,M,1.0765,13
3395,F,1.2225,13
3396,M,1.616,18
3397,F,0.559,12
3398,M,0.2205,9
3399,F,0.44,8
3400,M,0.879,10
3401,M,0.6815,18
3402,M,0.5795,13
3403,I,0.209,9
3404,M,0.224,8
3405,I,0.1765,7
3406,I,0.196,8
3407,I,0.192,6
3408,I,0.3095,7
3409,I,0.313,7
3410,I,0.3595,6
3411,I,0.3855,7
3412,I,0.5785,8
3413,M,0.674,9
3414,F,0.5265,7
3415,F,1.0315,9
3416,M,0.9,7
3417,M,1.0165,9
3418,F,1.2495,8
3419,M,1.1685,8
3420,F,1.148,10
3421,M,1.089,11
3422,M,1.0325,9
3423,F,1.172,11
3424,M,1.3715,10
3425,F,1.5055,10
3426,M,1.9045,13
3427,M,2.4925,13
3428,I,0.0805,4
3429,I,0.111,6
3430,I,0.152,6
3431,I,0.199,5
3432,I,0.219,6
3433,I,0.2155,6
3434,I,0.2565,6
3435,I,0.257,7
3436,I,0.2505,6
3437,I,0.279,8
3438,I,0.378,6
3439,I,0.456,8
3440,I,0.5055,7
3441,F,0.4705,7
3442,M,0.643,8
3443,I,0.513,7
3444,F,0.569,9
3445,I,0.578,8
3446,I,0.596,8
3447,F,0.5725,8
3448,M,0.6435,7
3449,M,0.8115,7
3450,F,0.7115,7
3451,M,0.9155,8
3452,F,0.8815,8
3453,F,0.931,8
3454,F,1.065,8
3455,M,1.1385,9
3456,F,1.234,12
3457,F,1.2635,10
3458,F,1.0745,8
3459,M,1.403,8
3460,M,1.1325,9
3461,F,1.1115,11
3462,F,1.255,10
3463,M,1.437,11
3464,M,1.3635,10
3465,F,1.1435,9
3466,M,1.4545,9
3467,M,1.478,10
3468,F,1.6885,11
3469,F,2.0725,10
3470,M,1.787,11
3471,F,1.523,9
3472,I,0.021,3
3473,I,0.0455,4
3474,I,0.2435,6
3475,I,0.2675,6
3476,I,0.258,7
3477,I,0.2985,6
3478,I,0.411,7
3479,I,0.38,7
3480,I,0.4385,8
3481,I,0.4015,6
3482,I,0.4485,7
3483,I,0.4155,7
3484,I,0.7095,8
3485,I,0.637,7
3486,F,1.1155,8
3487,I,0.599,8
3488,I,0.5345,8
3489,F,0.627,8
3490,M,0.7465,10
3491,M,0.985,8
3492,M,0.85,8
3493,M,0.838,8
3494,F,0.812,9
3495,M,0.7615,8
3496,M,0.87,8
3497,F,0.9835,9
3498,M,0.929,10
3499,F,1.0155,9
3500,M,0.939,8
3501,M,1.164,12
3502,M,1.214,10
3503,F,1.1345,11
3504,F,1.233,10
3505,M,1.0815,10
3506,M,1.179,9
3507,F,1.1635,11
3508,F,1.1545,9
3509,F,1.3345,10
3510,M,1.469,9
3511,M,1.492,11
3512,F,1.5585,11
3513,F,1.3275,9
3514,M,1.6615,10
3515,F,1.492,12
3516,F,1.7365,11
3517,F,1.6605,11
3518,M,1.348,11
3519,M,1.7405,10
3520,F,1.7185,11
3521,I,0.041,3
3522,I,0.0655,4
3523,I,0.097,4
3524,I,0.131,6
3525,I,0.1695,6
3526,I,0.192,6
3527,I,0.1765,7
3528,I,0.1735,6
3529,I,0.1785,6
3530,I,0.2055,7
3531,I,0.2345,7
3532,I,0.2305,7
3533,I,0.314,6
3534,I,0.33,6
3535,I,0.2775,9
3536,I,0.405,8
3537,I,0.309,6
3538,M,0.4385,7
3539,I,0.396,8
3540,I,0.3615,8
3541,I,0.514,8
3542,I,0.4265,8
3543,I,0.384,8
3544,I,0.4865,9
3545,I,0.4355,8
3546,I,0.498,7
3547,I,0.494,9
3548,F,0.594,7
3549,I,0.528,9
3550,M,0.5585,8
3551,I,0.636,9
3552,I,0.567,8
3553,I,0.6615,9
3554,I,0.658,8
3555,M,0.78,8
3556,I,0.6075,9
3557,I,0.7025,8
3558,I,0.8725,10
3559,F,1.2365,10
3560,M,1.186,10
3561,I,0.7745,9
3562,F,0.8875,8
3563,I,0.8725,8
3564,I,0.8515,9
3565,F,0.895,9
3566,M,0.886,9
3567,I,0.9265,10
3568,I,0.8295,10
3569,I,0.907,11
3570,M,1.041,9
3571,F,0.9355,9
3572,F,1.058,9
3573,F,0.7955,10
3574,F,1.0805,9
3575,M,0.928,8
3576,F,1.059,11
3577,M,1.157,11
3578,F,1.088,10
3579,F,0.776,9
3580,F,1.043,10
3581,M,1.1415,9
3582,F,1.3335,10
3583,F,1.273,9
3584,M,1.1835,11
3585,M,1.2135,9
3586,I,1.0315,11
3587,M,1.3695,10
3588,M,1.3745,12
3589,M,1.463,11
3590,F,1.6275,11
3591,F,1.3875,9
3592,M,1.46,11
3593,F,1.2835,8
3594,F,1.3765,12
3595,M,1.6465,11
3596,M,1.265,10
3597,M,1.56,11
3598,M,1.6,12
3599,M,2.333,12
3600,I,0.028,4
3601,I,0.226,8
3602,I,0.2855,5
3603,I,0.325,7
3604,I,0.514,8
3605,I,0.5755,8
3606,F,0.5805,7
3607,M,0.678,8
3608,M,0.8035,7
3609,F,0.913,9
3610,M,0.8675,9
3611,F,1.0425,10
3612,M,1.14,10
3613,F,1.3475,11
3614,M,1.0735,11
3615,M,1.4335,9
3616,M,1.304,14
3617,M,0.9505,9
3618,M,1.385,11
3619,F,1.12,12
3620,F,1.2645,9
3621,F,1.275,8
3622,M,1.27,10
3623,M,1.583,10
3624,F,1.4355,9
3625,F,1.42,10
3626,M,1.5955,10
3627,M,1.89,10
3628,F,2.037,13
3629,I,0.084,6
3630,I,0.1005,7
3631,I,0.1285,5
3632,I,0.1345,5
3633,I,0.1195,5
3634,I,0.1895,6
3635,I,0.257,6
3636,I,0.2745,8
3637,I,0.342,6
3638,I,0.344,8
3639,I,0.3275,8
3640,I,0.4035,7
3641,I,0.4075,9
3642,I,0.4975,8
3643,I,0.3685,8
3644,I,0.4175,7
3645,I,0.4425,9
3646,I,0.4225,9
3647,I,0.426,8
3648,I,0.511,9
3649,I,0.573,9
3650,I,0.6385,8
3651,I,0.657,10
3652,F,0.8735,10
3653,I,0.781,9
3654,I,0.6765,9
3655,M,0.769,9
3656,I,0.6235,11
3657,M,0.7315,7
3658,I,0.8075,10
3659,M,0.737,9
3660,F,0.654,10
3661,I,0.7915,10
3662,I,0.753,8
3663,I,0.717,9
3664,I,0.783,9
3665,I,0.872,9
3666,I,0.983,8
3667,F,1.034,11
3668,F,0.9855,10
3669,I,0.7635,9
3670,M,0.9895,8
3671,I,0.9365,10
3672,F,0.964,10
3673,F,1.0455,10
3674,F,1.081,12
3675,M,1.012,10
3676,F,1.122,10
3677,M,1.1245,11
3678,F,1.1345,10
3679,M,1.0805,10
3680,F,1.0835,9
3681,M,1.242,11
3682,M,1.3915,11
3683,M,1.085,10
3684,I,0.966,11
3685,M,1.0855,10
3686,F,1.3025,14
3687,I,1.15,11
3688,I,1.217,11
3689,F,1.306,9
3690,M,1.273,13
3691,M,1.4865,12
3692,M,1.3655,11
3693,M,1.276,11
3694,M,1.2075,10
3695,F,1.281,10
3696,M,1.4275,13
3697,M,1.155,12
3698,F,1.35,10
3699,M,1.3685,11
3700,F,1.431,10
3701,M,1.261,10
3702,F,1.764,11
3703,F,1.278,11
3704,M,1.217,11
3705,F,1.46,9
3706,F,1.5575,11
3707,M,1.527,11
3708,F,1.4985,9
3709,M,1.885,10
3710,M,1.432,11
3711,M,1.4385,11
3712,F,1.564,10
3713,M,2.14,11
3714,F,1.792,11
3715,M,2.548,11
3716,I,0.1585,5
3717,I,0.4015,7
3718,I,0.465,7
3719,I,0.2885,7
3720,F,0.6475,7
3721,M,0.6485,9
3722,I,0.452,9
3723,I,0.4915,9
3724,F,0.9145,7
3725,M,0.976,9
3726,I,0.7865,8
3727,M,0.775,7
3728,I,0.8415,10
3729,M,0.681,9
3730,M,0.6145,9
3731,F,1.1655,9
3732,F,1.764,10
3733,M,1.1215,10
